City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Cururupu,BR,83.43,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
3,Belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
10,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Castro,BR,82.65,few clouds,-24.7911,-50.0119,CHACARA BAILLY
16,Coro,VE,89.53,few clouds,11.4045,-69.6734,Federal
17,Sao Filipe,CV,80.78,clear sky,14.8961,-24.4956,Hotel Xaguate
20,Rikitea,PF,73.76,scattered clouds,-23.1203,-134.9692,People ThankYou
25,Alta Floresta,BR,85.82,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
30,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
33,Butaritari,KI,83.57,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
34,Basudebpur,IN,79.03,overcast clouds,21.1353,86.7386,"Teli Sahi Chhak,Basathi"
36,Luis Correia,BR,86.0,scattered clouds,-2.8792,-41.6669,Hotel Amarração
37,Jamestown,US,76.32,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
40,Castro Marim,PT,74.28,scattered clouds,37.2207,-7.4435,Parador de Ayamonte
41,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
42,La Palma,US,76.66,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
44,Monrovia,LR,78.57,overcast clouds,6.3005,-10.7969,Sunset Inn
45,Honiara,SB,76.68,overcast clouds,-9.4333,159.95,Heritage Park Hotel
53,Mahebourg,MU,71.89,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
57,Mayo,US,83.1,clear sky,38.8876,-76.5119,Resorts Resource Group International
58,Tabuk,PH,73.09,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
59,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
60,Shelburne,CA,72.75,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
